Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Joe Pavelski,AUT,F,8,6,5,4,4,4,4,3,0,11,3,2,2,5,2
Martin St.Louis,AUT,F,26,6,5,5,4,4,2,1,1,15,3,4,0,5,2
Marian Gaborik,AUT,F,10,7,6,6,5,2,3,1,1,15,4,4,0,3,1
Loui Eriksson,AUT,F,21,5,5,4,4,4,5,3,1,11,5,2,1,4,1
Wayne Simmonds,AUT,F,17,5,4,4,3,4,3,3,0,4,4,2,3,2,3
Tom Poti,AUT,D,3,7,4,4,3,4,4,2,1,9,1,4,1,4,1
Dustin Byfuglien,AUT,D,33,15,5,5,4,3,6,3,0,8,2,5,3,4,3
Sergei Gonchar,AUT,D,55,9,4,4,4,4,5,2,1,15,4,3,0,5,1
Martin Havlat,BAR,F,24,8,4,4,5,3,2,0,1,12,3,4,0,4,4
Clarke MacArthur,BAR,F,16,6,5,4,4,3,5,3,1,9,5,2,3,4,3
Mason Raymond,BAR,F,21,3,5,3,3,5,3,3,1,7,3,2,1,3,1
Artem Anisimov,BAR,F,42,6,4,4,3,4,3,3,1,6,3,2,2,3,2
James Neal,BAR,F,18,5,4,4,3,3,4,3,1,11,4,2,3,3,3
Trevor Daley,BAR,D,6,8,5,4,2,5,3,3,1,3,2,6,3,3,3
Joni Pitkanen,BAR,D,25,8,5,4,3,2,3,3,1,6,2,6,3,4,3
Andrew Macdonald,BAR,D,47,6,5,4,3,4,3,3,1,7,2,6,3,3,3
Vincent Lecavalier,BAY,F,4,10,4,4,4,3,3,3,1,12,4,1,1,5,2
Jonathan Toews,BAY,F,19,7,5,5,4,5,4,3,1,13,5,2,2,4,2
Jason Spezza,BAY,F,39,9,5,4,4,3,4,3,0,11,4,2,2,4,2
Paul Stastny,BAY,F,26,8,5,4,4,2,4,3,1,9,4,2,3,4,3
Zach Parise,BAY,F,9,6,3,3,3,2,3,3,1,11,2,2,1,3,1
Tyler Myers,BAY,D,57,10,3,3,3,4,3,3,0,5,3,6,3,3,3
Victor Hedman,BAY,D,77,11,4,4,2,4,5,3,1,8,1,6,3,3,3
Mike Green,BAY,D,52,6,5,5,3,4,3,3,0,8,3,6,3,3,3
Drew Stafford,BFC,F,21,9,5,5,4,4,5,3,0,10,6,2,3,3,3
Max Pacioretty,BFC,F,67,7,4,4,3,3,4,3,1,10,4,2,3,3,3
Sidney Crosby,BFC,F,87,7,5,5,6,4,4,3,1,15,6,2,2,6,2
Tyler Seguin,BFC,F,19,5,5,5,2,4,3,3,0,11,3,2,2,2,2
Ryane Clowe,BFC,F,29,10,4,5,4,4,4,3,1,10,4,2,3,4,3
Zdeno Chara,BFC,D,33,14,5,4,4,6,6,6,1,12,2,4,4,4,5
Kris Letang,BFC,D,58,7,5,5,3,5,3,3,0,12,2,5,3,4,3
Jordan Leopold,BFC,D,3,7,3,4,3,3,4,2,1,12,2,2,1,4,3
Brad Richards,HAM,F,91,7,5,4,5,4,4,2,1,12,4,2,1,5,1
Guillaume Latendresse,HAM,F,84,11,4,4,3,2,5,3,1,11,6,2,1,3,1
Nathan Horton,HAM,F,18,11,5,5,4,5,4,3,0,8,5,2,3,3,3
Ilya Kovalchuk,HAM,F,17,10,5,4,4,3,4,3,0,9,4,2,2,3,2
Troy Brouwer,HAM,F,36,10,5,4,3,4,4,3,0,5,5,2,3,3,3
Niklas Kronwall,HAM,D,55,6,5,4,3,6,3,3,1,6,3,6,3,3,3
Oliver Ekman-Larsson,HAM,D,23,4,4,4,2,4,3,3,1,8,3,6,2,2,2
Cam Fowler,HAM,D,4,6,5,4,3,2,3,3,1,6,3,6,2,3,2
Corey Perry,HIG,F,10,8,5,5,5,3,5,3,0,14,6,2,4,4,4
Mike Richards,HIG,F,18,6,5,4,4,4,4,3,1,10,4,2,3,4,3
Daniel Alfredsson,HIG,F,11,8,4,4,4,4,4,2,0,12,4,3,1,4,2
Bobby Ryan,HIG,F,6,9,5,5,4,4,4,3,0,10,4,2,3,4,3
