Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Joe Pavelski,AUT,F,8,6,4,4,4,4,4,3,0,8,4,2,2,3,2
Martin St.Louis,AUT,F,26,6,5,5,6,4,4,1,1,15,4,4,0,4,2
Ryan Johansen,AUT,F,19,7,4,3,2,3,2,3,0,6,2,2,2,2,2
Brad Richards,AUT,F,19,7,5,5,5,4,4,2,1,12,4,3,1,5,1
Wayne Simmonds,AUT,F,17,5,5,4,4,2,4,3,0,9,5,2,4,3,4
Mark Giordano,AUT,D,5,7,4,4,2,2,3,3,1,5,3,6,3,3,3
Dustin Byfuglien,AUT,D,33,15,4,4,4,3,6,3,0,8,2,6,3,4,3
Sergei Gonchar,AUT,D,55,9,4,4,5,2,4,2,1,12,4,3,0,4,1
Steve Sullivan,BAR,F,26,3,4,4,4,3,2,2,0,13,4,5,1,4,1
Gabriel Landeskog,BAR,F,92,8,5,5,3,2,3,3,1,12,3,2,3,3,3
Filip Forsberg,BAR,F,21,8,4,4,1,0,1,0,0,8,0,3,0,1,0
Artem Anisimov,BAR,F,42,6,5,4,3,3,4,3,1,8,5,2,2,2,2
James Neal,BAR,F,18,5,5,4,4,3,4,3,1,11,5,2,3,3,3
Trevor Daley,BAR,D,6,8,4,4,2,3,3,3,1,6,3,6,2,2,2
Joni Pitkanen,BAR,D,25,8,4,4,3,2,2,3,1,9,1,6,2,3,2
Dougie Hamilton,BAR,D,5,11,5,4,1,4,1,1,0,10,1,5,1,1,1
Vincent Lecavalier,BAY,F,4,10,5,4,5,3,5,3,1,12,4,2,1,5,2
Jonathan Toews,BAY,F,19,7,5,5,5,5,5,3,1,12,5,2,3,4,3
Jason Spezza,BAY,F,39,9,2,4,5,2,5,3,0,4,6,2,1,4,1
Tyler Johnson,BAY,F,90,5,5,5,2,0,1,0,0,10,0,4,0,1,0
Zach Parise,BAY,F,9,6,4,4,4,4,4,3,1,9,4,2,2,3,2
Tyler Myers,BAY,D,57,10,3,3,2,2,2,3,0,6,2,6,3,2,3
Victor Hedman,BAY,D,77,11,4,4,3,3,6,5,1,9,2,6,3,3,3
Mike Green,BAY,D,52,6,5,5,4,3,4,3,0,9,2,6,3,3,3
Nail Yakupov,BFC,F,14,6,6,6,2,3,4,1,1,15,5,6,1,2,1
Olli Jokinen,BFC,F,61,10,2,4,5,2,5,4,1,12,3,3,4,3,3
Sidney Crosby,BFC,F,87,7,5,5,6,4,5,3,1,15,4,2,2,6,2
Tyler Seguin,BFC,F,19,5,5,5,4,5,4,3,0,13,4,2,2,3,2
Brandon Saad,BFC,F,43,7,4,5,3,5,4,3,1,8,4,2,2,3,2
Zdeno Chara,BFC,D,33,14,5,4,4,6,6,6,1,12,2,3,4,3,5
Kris Letang,BFC,D,58,7,5,5,5,6,4,3,0,12,2,6,1,6,1
Nick Leddy,BFC,D,8,4,4,4,3,6,3,3,1,6,3,6,2,3,2
Joffrey Lupul,DHG,F,19,8,4,4,5,2,2,3,0,11,4,2,2,3,2
Alex Tanguay,DHG,F,40,6,4,3,4,2,1,1,1,14,6,5,1,4,2
Ondrej Palat,DHG,F,26,6,4,3,2,2,3,3,1,9,4,2,1,2,0
David Desharnais,DHG,F,10,4,5,4,3,3,4,3,1,7,5,2,3,3,3
Chris Kreider,DHG,F,15,11,5,4,1,3,2,0,1,10,3,4,0,0,0
Eric Brewer,DHG,D,2,10,4,3,3,3,4,3,1,12,3,3,1,4,3
Cory Sarich,DHG,D,6,8,2,3,2,4,3,5,0,6,2,6,3,4,3
Jake Muzzin,DHG,D,3,9,3,3,3,5,3,5,1,9,3,6,3,2,3
Paul Stastny,GRH,F,26,8,5,4,3,3,4,3,1,8,4,2,2,3,2
Jonathan Huberdeau,GRH,F,10,7,6,6,2,2,3,1,1,15,3,6,1,2,1
P.A. Parenteau,GRH,F,15,7,4,4,4,2,5,3,0,10,6,2,3,4,3
Alexander Semin,GRH,F,28,8,4,5,5,3,4,3,0,11,3,2,3,5,3
Brandon Dubinsky,GRH,F,17,8,5,4,4,2,3,3,1,10,2,2,4,4,4
Dan Boyle,GRH,D,22,6,5,4,3,5,1,1,0,10,2,6,1,3,2
Jack Johnson,GRH,D,3,7,5,4,3,4,3,3,1,7,2,6,2,3,2
Radko Gudas,GRH,D,6,8,5,4,1,2,2,1,0,10,2,5,1,1,1
Vladimir Tarasenko,HAM,F,91,10,6,6,2,3,3,0,1,15,3,6,0,2,0
Jaden Schwartz,HAM,F,17,5,4,5,2,4,4,3,1,5,5,2,1,2,1
Daniel Briere,HAM,F,48,5,5,5,5,2,4,1,0,15,4,3,0,5,2
David Backes,HAM,F,42,10,4,4,3,3,3,3,0,7,2,2,4,4,4
Troy Brouwer,HAM,F,36,10,5,5,4,3,5,3,0,9,6,2,3,3,3
Kimmo Timonen,HAM,D,44,7,5,4,4,4,4,1,1,12,4,2,0,5,1
Alex Goligoski,HAM,D,33,5,5,4,3,4,3,3,0,7,2,6,2,4,2
Jack Hillen,HAM,D,38,6,5,4,3,4,4,3,1,9,4,6,2,3,2
Corey Perry,HIG,F,10,8,5,5,4,3,4,3,0,12,4,2,4,4,4
Sean Couturier,HIG,F,14,7,5,4,2,3,3,3,1,11,2,2,2,3,2
Carl Hagelin,HIG,F,62,4,5,4,3,4,3,3,1,7,3,2,2,3,2
Mark Stone,HIG,F,61,7,2,3,0,0,1,0,0,5,0,2,0,0,0
Cam Atkinson,HIG,F,13,4,3,4,3,4,4,3,0,11,4,2,1,3,1
Brent Seabrook,HIG,D,7,10,4,4,3,5,4,3,0,6,4,6,3,3,3
Niklas Hjalmarsson,HIG,D,4,7,5,4,2,6,2,3,1,5,2,6,3,2,3
Ryan Ellis,HIG,D,94,4,4,3,2,3,5,3,0,6,2,6,2,2,2
Teemu Selanne,ING,F,8,8,5,4,5,2,4,2,0,15,4,3,0,6,1
Patrick Kane,ING,F,88,2,5,5,5,5,6,3,1,13,6,2,1,5,1
Dainius Zubrus,ING,F,9,11,3,3,4,2,3,3,1,12,3,2,1,4,3
Jaromir Jagr,ING,F,68,13,5,4,6,3,3,3,1,15,4,3,2,4,2
Jamie Langenbrunner,ING,F,13,8,4,3,4,4,4,4,0,6,3,5,3,4,4
Drew Doughty,ING,D,86,7,4,4,3,4,5,5,0,13,2,6,3,3,5
Rostislav Klesla,ING,D,16,10,3,3,3,3,3,3,0,12,3,5,1,4,1
Erik Karlsson,ING,D,65,4,6,6,4,3,4,3,0,13,3,6,1,4,1
Michael Grabner,ITA,F,40,4,5,4,3,3,4,3,1,7,5,2,2,2,2
Gustav Nyquist,ITA,F,14,3,4,6,2,3,2,3,1,9,2,2,1,2,1
Mats Zuccarello,ITA,F,36,4,5,4,3,2,4,3,1,10,4,2,1,3,1
Darren Helm,ITA,F,43,4,3,2,1,1,3,3,1,1,3,2,1,2,1
Andrew Cogliano,ITA,F,7,4,5,3,3,4,4,3,1,7,5,2,1,2,1
Tyson Barrie,ITA,D,41,6,3,3,3,2,3,3,0,8,2,6,2,3,2
T.J. Brodie,ITA,D,2,3,3,3,2,3,4,3,1,9,2,6,1,3,1
Braydon Coburn,ITA,D,5,10,5,4,1,2,2,3,1,6,1,5,3,2,3
Evgeni Malkin,KAR,F,71,6,5,5,5,3,4,3,1,12,3,2,3,5,3
Alex Ovechkin,KAR,F,8,12,5,5,5,3,6,3,0,13,5,2,3,4,3
Brendan Gallagher,KAR,F,69,5,6,5,2,3,3,1,0,13,3,6,1,2,1
Blake Wheeler,KAR,F,26,5,5,4,4,3,5,3,0,10,5,2,3,4,3
Pavel Datsyuk,KAR,F,42,7,5,4,5,5,5,3,1,12,5,2,2,5,2
Oliver Ekman-Larsson,KAR,D,23,4,4,4,3,6,2,3,1,10,1,6,3,3,3
John Carlson,KAR,D,74,8,4,4,3,4,4,3,0,11,2,6,2,3,2
Brent Burns,KAR,D,88,9,4,5,4,4,4,4,0,9,4,2,3,4,3
Alexander Steen,MHA,F,20,8,4,4,4,4,3,3,1,9,2,2,2,4,2
Jordan Staal,MHA,F,11,10,5,4,4,2,3,3,1,8,3,2,3,3,3
Ryan Kesler,MHA,F,17,8,4,4,4,2,4,3,0,11,4,2,2,4,2
Mike Richards,MHA,F,10,6,5,4,4,3,4,3,1,8,5,2,3,3,3
Ryan Smyth,MHA,F,75,7,4,4,4,3,4,4,1,9,3,4,4,4,4
Roman Hamrlik,MHA,D,44,9,3,4,4,4,3,3,1,9,3,2,2,3,2
Cody Franson,MHA,D,4,9,5,4,4,4,3,3,0,8,2,6,1,4,1
Ed Jovanovski,MHA,D,52,10,4,3,4,4,3,4,0,9,3,4,5,4,4
Phil Kessel,MHT,F,81,5,5,4,5,3,4,3,0,12,4,2,2,4,2
Jean-Gabriel Pageau,MHT,F,44,5,6,6,2,0,2,0,0,15,3,6,0,1,0
Chris Stewart,MHT,F,80,11,5,5,4,3,5,3,0,9,6,2,3,3,3
Marian Gaborik,MHT,F,10,7,6,5,6,4,4,1,1,12,3,4,0,3,1
Jeff Skinner,MHT,F,55,5,5,4,3,2,3,3,1,12,3,2,3,3,3
Torey Krug,MHT,D,47,5,4,3,5,1,3,3,1,1,0,6,1,6,0
Justin Schultz,MHT,D,19,6,6,5,2,2,2,0,0,13,2,5,0,2,0
Cam Fowler,MHT,D,77,6,4,3,2,4,2,3,1,6,1,6,1,3,1
Jarome Iginla,MGG,F,12,8,5,5,6,3,5,3,0,12,5,2,4,3,4
J.T. Miller,MGG,F,8,9,5,5,1,3,1,0,1,10,1,5,0,0,0
Mark Scheifele,MGG,F,55,5,4,2,1,2,1,3,0,4,0,2,1,2,0
Patrick Marleau,MGG,F,19,10,5,4,5,3,4,2,1,12,4,4,1,4,2
Ryan Getzlaf,MGG,F,15,10,5,5,5,4,5,3,0,12,5,2,3,5,3
Paul Martin,MGG,D,7,6,3,3,4,5,5,3,1,9,5,6,2,4,2
Chris Phillips,MGG,D,4,9,4,4,2,4,2,4,1,11,2,6,3,2,3
P.K. Subban,MGG,D,76,8,5,5,4,6,4,3,0,11,3,5,4,4,4
Jordan Eberle,NBK,F,14,5,4,4,4,3,4,3,0,11,4,2,2,3,2
Jiri Hudler,NBK,F,26,5,4,4,4,3,5,3,1,8,6,2,3,3,3
Ray Whitney,NBK,F,13,5,3,3,3,3,3,3,0,9,2,3,3,3,2
Logan Couture,NBK,F,39,6,4,5,4,4,4,3,1,11,5,2,1,3,1
Claude Giroux,NBK,F,28,5,5,4,5,3,4,3,0,11,3,2,3,5,3
