Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Carey Price,AUT,G,31,11,5,5,4,4,5,0,1,0,0,5,5,6,5
Evgeni Nabokov,AUT,G,20,7,5,4,4,2,5,0,1,0,0,4,4,4,4
Jean-Sebastien Giguere,BAR,G,35,8,4,5,5,5,3,0,1,0,0,4,4,5,4
Semyon Varlamov,BAR,G,1,5,5,4,1,3,2,0,1,0,0,3,2,2,3
Cory Schneider,BAY,G,35,6,5,3,1,5,5,0,1,0,0,5,5,5,5
Jimmy Howard,BAY,G,34,9,4,4,1,5,5,0,1,0,0,4,5,5,4
Robin Lehner,BFC,G,1,10,5,3,0,4,6,0,1,0,0,6,5,5,6
Braden Holtby,BFC,G,70,8,5,4,2,2,4,0,1,0,0,5,5,5,5
Nikolai Khabibulin,DHG,G,33,8,3,4,3,4,3,0,1,0,0,4,5,4,5
Anders Lindback,DHG,G,39,8,5,4,1,1,2,0,1,0,0,3,3,3,3
Ilya Bryzgalov,GRH,G,80,8,5,4,3,4,3,0,1,0,0,5,5,5,6
Darcy Kuemper,GRH,G,35,9,1,2,0,0,0,0,0,0,0,2,2,2,2
Viktor Fasth,HAM,G,35,5,5,3,0,5,5,0,0,0,0,5,5,4,6
Tuukka Rask,HAM,G,40,3,5,4,0,5,4,0,1,0,0,5,4,4,5
Henrik Lundqvist,HIG,G,30,6,5,5,1,5,5,0,1,0,0,5,5,5,5
Dan Ellis,HIG,G,38,5,2,3,2,1,3,0,1,0,0,2,3,3,2
Pekka Rinne,ING,G,35,8,6,5,5,3,5,0,1,0,0,5,5,6,6
Scott Clemmensen,ING,G,30,8,2,2,0,0,2,0,1,0,0,2,2,2,2
Ben Scrivens,ITA,G,31,6,4,3,0,2,4,0,1,0,0,4,3,3,4
Matt Hackett,ITA,G,31,3,3,3,0,2,2,0,1,0,0,4,2,2,4
Roberto Luongo,KAR,G,1,7,5,6,4,5,3,0,1,0,0,5,4,4,5
Jhonas Enroth,KAR,G,11,3,5,4,0,3,3,0,1,0,0,4,3,3,4
Jose Theodore,MHA,G,60,5,4,4,4,4,3,0,0,0,0,5,4,5,4
Steve Mason,MHA,G,1,5,5,4,1,2,4,0,0,0,0,3,4,4,3
Johan Hedberg,MHT,G,1,6,5,5,3,4,3,0,1,0,0,4,2,4,4
Carter Hutton,MHT,G,33,7,2,2,0,0,1,0,0,0,0,2,2,2,2
Kari Lehtonen,MGG,G,32,10,5,5,3,3,4,0,1,0,0,4,4,4,5
Mike Smith,MGG,G,41,10,3,4,0,3,3,0,0,0,0,4,3,3,4
Jonathan Quick,NBK,G,32,5,5,6,5,5,5,0,1,0,0,5,5,5,6
Jake Allen,NBK,G,34,7,4,4,0,4,2,0,0,0,0,5,4,4,5
Marc-Andre Fleury,OCW,G,29,4,6,4,4,3,6,0,0,0,0,4,4,4,5
Brian Elliott,OCW,G,40,5,5,3,0,4,3,0,1,0,0,4,4,4,4
Cam Ward,PIT,G,30,5,5,5,4,5,6,0,0,0,0,4,5,5,4
Martin Biron,PIT,G,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad Johnson,PRO,G,30,7,5,3,0,2,2,0,1,0,0,3,3,3,3
Devan Dubnyk,PRO,G,40,6,5,3,0,3,4,0,0,0,0,4,4,4,4
Ben Bishop,RIC,G,30,9,5,3,0,2,4,0,1,0,0,4,4,4,4
Jonathan Bernier,RIC,G,45,4,5,4,1,6,4,0,1,0,0,5,4,4,5
Ray Emery,ROC,G,30,7,5,5,0,5,4,0,1,0,0,4,5,5,4
Jacob Markstrom,ROC,G,37,4,2,3,0,1,1,0,0,0,0,3,2,2,2
