Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Rod Brind'Amour,BRW,F,17,9,4,4,4,4,4,3,0,9,4,6,5,4,1
Robert Reichel,BRW,F,26,6,4,4,4,2,4,2,1,12,4,3,3,4,1
Adam Oates,BRW,F,12,7,5,4,6,5,3,3,0,15,4,5,6,6,0
Darren Turcotte,BRW,F,89,6,4,5,4,3,5,1,0,9,3,4,2,3,0
Trevor Linden,BRW,F,16,9,3,3,4,4,4,4,1,12,4,4,3,4,3
Peter Forsberg,BRW,F,21,6,4,4,4,3,3,2,1,12,3,3,5,6,0
Calle Johansson,BRW,D,6,9,4,4,4,4,3,2,0,9,2,4,4,4,0
Sergei Zubov,BRW,D,21,7,5,4,5,4,4,3,0,15,2,3,5,5,0
Curtis Leschyshyn,BRW,D,7,9,3,4,3,4,2,3,0,9,3,5,4,3,0
Chris Pronger,BRW,D,44,7,3,3,4,3,3,3,0,9,3,3,3,3,4
Pat LaFontaine,CHI,F,16,5,5,4,6,4,4,2,1,12,4,4,4,5,1
Joe Sakic,CHI,F,19,6,4,3,6,4,4,2,0,15,5,5,4,6,0
Joe Nieuwendyk,CHI,F,25,8,4,3,5,4,4,3,1,12,4,4,2,4,0
Jeremy Roenick,CHI,F,27,4,5,5,5,4,5,4,1,12,4,5,3,5,3
Brendan Shanahan,CHI,F,19,10,3,3,5,4,5,4,0,9,5,4,2,4,3
Igor Larionov,CHI,F,7,4,4,3,4,3,3,1,0,9,3,3,2,4,0
Gary Suter,CHI,D,20,7,5,4,4,4,4,4,1,12,2,5,5,4,0
Steve Smith,CHI,D,5,11,4,4,3,5,3,4,1,6,2,5,2,4,2
Rob Blake,CHI,D,4,10,4,4,4,4,4,4,0,9,2,4,3,4,1
Eric Desjardins,CHI,D,37,9,4,3,3,5,4,4,0,9,3,4,3,3,0
Zigmund Palffy,COR,F,68,4,4,3,3,2,2,1,1,9,2,3,4,3,0
Ray Whitney,COR,F,14,4,2,3,3,2,3,1,0,9,4,3,4,3,0
Pavol Demitra,COR,F,78,6,3,3,2,3,3,1,1,9,2,3,2,3,0
Mark Messier,COR,F,11,9,5,4,5,4,3,4,1,15,3,5,4,5,2
Stephane Richer,COR,F,44,9,4,5,4,3,5,2,0,9,5,4,2,3,0
Peter Bondra,COR,F,12,6,4,6,4,3,4,1,1,12,5,4,2,4,0
Fredrik Olausson,COR,D,15,9,4,4,4,3,4,1,0,9,2,3,5,4,0
Zarley Zalapski,COR,D,33,10,5,4,4,3,4,3,1,12,2,5,4,3,0
James Patrick,COR,D,5,9,5,3,3,3,3,3,0,9,2,3,5,4,0
Patrice Brisebois,COR,D,43,5,4,3,4,3,3,2,0,9,3,3,4,3,1
Dale Hawerchuk,DWB,F,10,6,6,4,5,4,4,2,1,12,3,4,5,5,0
Jaromir Jagr,DWB,F,68,10,5,4,6,4,4,4,1,15,5,6,5,5,0
Alexei Zhamnov,DWB,F,10,7,5,4,5,4,4,2,0,15,5,4,4,5,0
Corey Millen,DWB,F,6,4,3,5,4,2,2,1,0,9,3,3,4,3,0
Russ Courtnall,DWB,F,9,6,5,6,4,3,4,2,0,9,3,4,3,4,0
Tony Amonte,DWB,F,10,6,4,5,4,3,4,1,0,9,3,4,5,3,0
Bret Hedican,DWB,D,3,8,5,5,2,2,2,2,1,6,2,3,3,3,0
Glen Wesley,DWB,D,20,8,5,4,4,4,3,3,1,12,2,4,4,3,0
Sandis Ozolinsh,DWB,D,6,7,4,4,4,3,4,2,0,9,4,4,3,4,1
John Gruden,DWB,D,36,6,3,2,2,3,3,3,1,6,2,3,2,3,1
Bill Guerin,GRA,F,12,9,3,5,3,3,5,3,0,6,4,3,2,2,4
