Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Tomas Fleischmann,AHC,F,14,6,4,4,3,3,4,3,1,6,4,2,2,3,2
Ryane Clowe,AHC,F,12,10,5,5,4,4,4,3,1,9,4,2,3,3,3
Michal Handzus,AHC,F,10,9,4,4,4,5,4,3,1,7,4,5,1,4,2
Pavel Datsyuk,AHC,F,16,7,6,5,6,5,4,3,1,15,4,2,2,5,2
Kristian Huselius,AHC,F,40,4,4,4,4,4,4,3,1,9,3,2,3,4,3
Mattias Ohlund,AHC,D,8,10,4,4,3,4,4,4,1,9,4,4,2,4,1
Jason Smith,AHC,D,2,9,4,3,4,5,4,4,0,7,3,3,3,3,4
Sheldon Souray,AHC,D,44,10,5,4,4,5,6,3,1,7,4,5,5,5,5
Joe Pavelski,AUT,F,12,6,5,4,4,4,3,3,0,9,3,2,3,3,3
Martin St. Louis,AUT,F,77,6,5,5,4,2,3,3,1,14,4,5,1,5,4
Marian Gaborik,AUT,F,26,5,4,5,4,2,5,3,1,5,4,5,4,4,1
Daniel Briere,AUT,F,10,5,5,5,5,2,4,2,0,10,4,5,1,5,2
Wayne Simmonds,AUT,F,37,5,3,3,2,2,3,3,0,2,3,2,3,2,3
Tom Poti,AUT,D,20,9,4,4,3,4,4,2,1,8,4,4,1,4,1
Brad Stuart,AUT,D,16,9,3,4,2,3,3,4,1,9,3,4,1,4,3
Sergei Gonchar,AUT,D,6,9,4,4,5,5,5,2,1,9,4,5,3,4,3
Markus Naslund,BAY,F,91,7,5,4,5,4,5,2,1,9,5,4,4,3,2
Jonathan Toews,BAY,F,19,7,5,5,4,4,4,3,1,10,5,2,3,3,3
Jason Spezza,BAY,F,39,9,5,4,5,3,4,3,0,10,4,2,3,4,3
Paul Stastny,BAY,F,26,8,5,4,4,3,4,3,1,10,3,2,2,4,2
Zach Parise,BAY,F,9,6,5,5,6,6,4,3,1,13,4,2,2,4,2
Wade Redden,BAY,D,6,8,4,4,3,4,4,3,1,9,3,4,1,4,1
Rhett Warrener,BAY,D,44,9,3,3,2,5,4,4,0,10,3,6,4,3,4
Mike Green,BAY,D,52,6,4,5,4,4,4,3,0,9,4,5,3,3,3
Todd Bertuzzi,BBM,F,44,12,4,4,4,3,4,5,1,11,4,3,5,3,5
Keith Tkachuk,BBM,F,7,11,3,3,4,3,5,4,1,9,4,4,4,4,4
Kyle Turris,BBM,F,40,3,3,3,2,2,3,3,0,5,3,2,2,2,2
Kyle Okposo,BBM,F,61,6,4,4,3,3,3,3,0,8,3,2,2,3,2
Clarke MacArthur,BBM,F,11,6,4,4,3,3,3,3,1,6,4,2,3,2,3
Francois Beauchemin,BBM,D,53,8,5,4,2,2,2,3,1,9,3,6,1,1,1
Sami Salo,BBM,D,5,9,4,4,3,4,5,3,0,7,4,5,2,4,2
Andrei Markov,BBM,D,79,8,5,4,4,3,3,2,1,9,4,6,2,4,2
Johan Franzen,BFC,F,93,11,5,5,4,3,4,3,1,10,4,2,3,3,3
Max Pacioretty,BFC,F,67,7,4,3,2,2,3,3,1,8,2,2,2,3,2
Sidney Crosby,BFC,F,87,7,5,5,6,3,5,3,1,15,4,2,3,5,3
Troy Brouwer,BFC,F,18,10,5,4,3,4,3,3,0,5,3,2,3,3,3
Brad Boyes,BFC,F,26,7,5,4,5,3,4,3,0,10,4,2,2,4,2
Zdeno Chara,BFC,D,33,15,5,4,5,6,5,5,1,9,3,5,5,5,5
Kris Letang,BFC,D,58,7,6,5,3,5,3,3,0,5,3,6,2,3,2
Dennis Wideman,BFC,D,6,7,3,3,4,6,4,3,0,7,3,6,2,4,2
Alexandre Daigle,ETI,F,91,7,5,4,3,4,4,2,0,7,4,4,3,4,2
Matt Stajan,ETI,F,15,7,5,4,4,3,4,3,1,9,4,2,3,4,3
Devin Setoguchi,ETI,F,22,7,4,5,4,5,3,3,0,9,4,2,2,3,2
Owen Nolan,ETI,F,23,9,4,3,4,3,5,5,0,7,4,4,5,2,4
Jiri Hudler,ETI,F,17,5,5,4,4,5,4,3,1,8,4,2,1,3,1
Cory Murphy,ETI,D,12,5,5,4,3,4,3,3,1,9,3,6,1,3,1
Hal Gill,ETI,D,44,14,2,2,3,5,4,4,1,5,3,5,4,3,4
John-Michael Liles,ETI,D,4,7,5,4,3,3,3,3,1,6,3,6,2,3,2
Brad Richards,HAM,F,91,7,5,4,4,3,4,3,1,11,4,5,3,5,1
Jarome Iginla,HAM,F,12,8,4,4,5,3,4,4,0,9,4,4,4,5,4
Nathan Horton,HAM,F,18,11,5,4,4,3,4,3,0,8,5,2,3,3,3
Andrew Ladd,HAM,F,16,7,5,4,3,6,3,3,1,7,3,2,2,3,2
Chuck Kobasew,HAM,F,17,6,5,4,4,4,4,3,0,8,4,2,3,3,3
Niklas Kronwall,HAM,D,55,6,5,4,4,4,3,3,1,7,3,6,3,3,3
Tom Preissing,HAM,D,42,7,5,4,2,4,3,3,0,9,3,6,1,2,1
Grant Clitsome,HAM,D,44,8,2,3,2,3,3,3,0,2,2,3,0,3,3
Anze Kopitar,HIG,F,11,10,5,4,4,2,4,3,1,9,3,2,2,4,2
Mike Richards,HIG,F,18,6,5,4,5,4,4,3,1,11,4,2,3,4,3
Patric Hornqvist,HIG,F,72,6,3,3,2,2,2,3,0,9,2,2,1,2,1
Jeff Carter,HIG,F,17,7,5,4,5,4,3,3,0,12,4,2,3,3,3
Vaclav Prospal,HIG,F,45,6,4,4,4,2,4,2,1,9,3,4,1,4,2
Brent Seabrook,HIG,D,7,10,3,3,2,6,2,3,0,3,2,6,3,2,3
Chris Pronger,HIG,D,20,10,4,4,4,5,5,5,1,9,3,6,4,4,5
Zach Bogosian,HIG,D,24,7,4,4,3,5,3,3,0,8,3,6,3,2,3
Joe Sakic,HOT,F,19,7,4,4,5,3,4,2,1,9,5,4,2,4,2
James Neal,HOT,F,18,5,4,3,3,2,3,3,1,6,4,2,3,2,3
Daniel Alfredsson,HOT,F,11,8,4,5,5,3,4,3,0,11,4,5,3,4,2
Brandon Dubinsky,HOT,F,81,8,4,4,3,2,3,3,1,5,2,2,4,3,4
Blake Wheeler,HOT,F,26,5,5,4,3,6,4,3,0,6,4,2,3,3,3
Alex Pietrangelo,HOT,D,2,8,4,3,1,2,1,3,0,5,0,6,1,2,1
Keith Yandle,HOT,D,3,6,5,4,3,4,2,3,1,6,1,6,2,3,2
Ville Koistinen,HOT,D,6,6,5,4,2,5,3,3,1,8,3,6,1,2,1
Steve Sullivan,ING,F,11,2,5,5,4,2,3,2,0,11,3,4,2,3,1
Patrick Kane,ING,F,88,2,5,6,5,4,4,3,1,10,3,2,3,4,3
Dainius Zubrus,ING,F,11,11,3,4,4,2,4,3,1,10,4,4,3,4,3
Doug Weight,ING,F,43,8,4,4,5,3,3,2,1,10,3,4,4,4,2
Jere Lehtinen,ING,F,19,7,4,3,4,5,4,3,0,10,4,5,4,3,2
Drew Doughty,ING,D,8,7,5,4,2,4,3,3,0,3,2,6,3,3,3
Pavel Kubina,ING,D,4,13,3,3,3,3,4,3,0,8,3,4,2,4,2
Darryl Sydor,ING,D,77,9,4,4,4,4,4,3,1,9,4,4,2,4,1
Evgeni Malkin,KVK,F,33,6,5,5,6,4,5,3,1,14,4,2,3,6,3
Alex Ovechkin,KVK,F,44,12,5,5,6,2,6,3,0,15,3,2,3,4,3
Alexander Radulov,KVK,F,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valtteri Filppula,KVK,F,18,6,4,4,3,4,3,3,1,6,3,2,3,3,3
Derek Roy,KVK,F,11,6,5,4,4,4,4,3,1,10,4,4,3,4,3
Christian Ehrhoff,KVK,D,14,7,3,4,3,4,3,3,1,6,2,6,3,3,3
