Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Tomas Fleischmann,AHC,F,12,6,3,3,2,2,3,1,1,8,3,2,1,2,1
Ryane Clowe,AHC,F,10,10,5,4,3,4,4,2,1,8,4,2,3,3,3
Bobby Holik,AHC,F,16,11,4,4,3,4,4,5,0,9,3,5,3,3,4
Mike Ricci,AHC,F,19,6,4,4,2,4,3,4,1,10,2,5,3,4,4
Kristian Huselius,AHC,F,8,4,5,4,5,6,4,1,1,10,4,2,2,4,2
Mattias Ohlund,AHC,D,2,10,5,4,4,4,4,4,1,9,4,4,2,4,1
Jason Smith,AHC,D,44,9,3,3,3,6,3,6,0,7,2,6,3,3,5
Andrew Ference,AHC,D,42,6,4,3,4,4,3,4,1,7,3,2,1,3,3
Joe Pavelski,AUT,F,12,6,5,4,3,5,3,2,0,9,3,2,1,3,1
Martin St. Louis,AUT,F,26,5,5,5,4,3,3,1,1,12,4,4,2,4,2
Marian Gaborik,AUT,F,10,5,4,5,4,2,4,1,1,5,4,3,4,4,1
Troy Brouwer,AUT,F,11,10,4,3,1,2,1,2,0,10,0,2,1,2,1
Pierre-Marc Bouchard,AUT,F,20,4,5,4,4,6,4,1,1,8,3,2,1,4,1
Tom Poti,AUT,D,2,9,4,4,4,3,4,2,1,9,4,4,1,4,1
Brad Stuart,AUT,D,6,9,4,4,4,3,4,3,1,9,3,4,1,4,1
Sergei Gonchar,AUT,D,76,9,5,4,5,4,5,2,1,9,4,5,3,4,3
Markus Naslund,BAY,F,19,7,5,4,5,3,4,2,1,11,5,4,5,3,2
Michael Peca,BAY,F,27,6,4,3,3,5,3,5,0,9,3,5,2,3,4
Jason Spezza,BAY,F,39,9,5,5,6,5,5,2,0,13,5,2,3,5,3
Paul Stastny,BAY,F,26,8,5,5,5,4,4,2,1,10,4,2,3,4,3
Zach Parise,BAY,F,9,6,5,4,4,4,3,1,1,9,3,2,2,3,2
Wade Redden,BAY,D,6,8,3,4,4,4,4,3,1,9,4,4,1,5,1
Rhett Warrener,BAY,D,44,9,3,3,2,5,4,4,0,10,3,6,4,3,4
Mike Green,BAY,D,52,6,4,5,5,6,4,3,0,12,4,6,3,4,3
