Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Carey Price,AUT,G,31,11,5,5,3,4,4,0,0,0,0,5,5,4,5
Evgeni Nabokov,AUT,G,20,7,4,3,0,3,5,0,0,0,0,4,4,4,4
Jean-Sebastien Giguere,BAR,G,35,7,4,4,5,5,4,0,0,0,0,5,5,4,5
Semyon Varlamov,BAR,G,1,5,4,4,1,3,4,0,0,0,0,5,4,4,5
Cory Schneider,BAY,G,35,6,5,4,2,5,6,0,0,0,0,5,5,5,5
Jimmy Howard,BAY,G,34,9,5,3,1,4,4,0,0,0,0,4,4,4,4
Brian Elliott,BFC,G,1,5,5,3,0,5,5,0,1,0,0,5,5,5,5
Braden Holtby,BFC,G,70,8,5,5,0,2,4,0,0,0,0,4,5,5,4
Brian Boucher,DHG,G,33,7,3,5,3,5,4,0,0,0,0,5,5,4,3
Anders Lindback,DHG,G,39,8,3,4,1,3,3,0,0,0,0,4,4,4,4
Ilya Bryzgalov,GRH,G,30,8,5,4,2,3,3,0,0,0,0,5,5,6,6
Richard Bachman,GRH,G,31,3,3,4,1,2,3,0,0,0,0,4,3,3,4
Tuukka Rask,HAM,G,40,3,5,4,0,5,5,0,0,0,0,5,4,4,5
Jacob Markstrom,HAM,G,35,4,1,2,0,0,0,0,0,0,0,2,1,1,1
Henrik Lundqvist,HIG,G,30,6,6,5,2,5,5,0,1,0,0,6,5,5,6
Dan Ellis,HIG,G,38,5,3,3,1,2,3,0,0,0,0,3,3,3,3
Pekka Rinne,ING,G,35,8,6,5,5,3,5,0,0,0,0,5,5,6,6
Scott Clemmensen,ING,G,30,8,4,3,1,3,4,0,0,0,0,3,4,4,3
Ondrej Pavelec,ITA,G,31,7,5,4,2,1,3,0,0,0,0,4,3,3,4
Matt Hackett,ITA,G,31,3,2,5,0,3,4,0,0,0,0,5,3,3,5
Roberto Luongo,KAR,G,1,7,5,6,4,5,5,0,0,0,0,6,5,5,6
Jhonas Enroth,KAR,G,1,3,3,4,0,2,4,0,0,0,0,4,3,3,4
Jose Theodore,MHA,G,60,5,4,4,4,4,3,0,1,0,0,5,4,5,4
Steve Mason,MHA,G,1,5,4,3,2,0,2,0,1,0,0,2,3,3,2
Johan Hedberg,MHT,G,1,6,5,5,3,4,3,0,0,0,0,4,2,4,4
Craig Anderson,MHT,G,41,5,5,4,4,2,4,0,0,0,0,5,5,5,5
Kari Lehtonen,MGG,G,32,9,5,5,4,5,5,0,0,0,0,5,5,4,6
Mike Smith,MGG,G,41,10,4,5,2,4,5,0,0,0,0,5,5,5,5
Jonathan Quick,NBK,G,32,5,5,6,5,5,5,0,0,0,0,5,5,5,6
