Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Joe Pavelski,AUT,F,8,6,5,4,4,5,4,2,0,9,4,2,3,3,3
Martin St.Louis,AUT,F,26,6,5,5,6,2,5,1,1,12,4,4,1,5,4
Ryan Johansen,AUT,F,19,7,4,4,2,3,3,2,0,5,3,2,2,2,2
Brad Richards,AUT,F,19,7,4,5,6,2,4,2,1,12,3,3,2,4,1
Wayne Simmonds,AUT,F,17,5,3,3,3,3,4,2,0,7,5,2,4,3,4
Mark Giordano,AUT,D,5,7,4,4,3,3,3,2,1,7,3,5,3,3,3
Dustin Byfuglien,AUT,D,33,15,4,4,4,2,6,2,0,10,2,6,3,4,3
Sergei Gonchar,AUT,D,55,9,3,4,5,5,5,2,1,12,3,2,3,2,1
Steve Sullivan,BAR,F,26,3,4,4,4,3,4,1,0,14,4,5,3,4,2
Gabriel Landeskog,BAR,F,92,8,5,4,3,4,3,2,1,11,3,2,3,3,3
Mason Raymond,BAR,F,21,3,5,3,3,4,3,2,1,7,3,2,2,2,2
Artem Anisimov,BAR,F,42,6,4,4,3,5,4,2,1,5,4,2,3,3,3
James Neal,BAR,F,18,5,5,5,5,3,4,2,1,11,4,2,4,4,4
Trevor Daley,BAR,D,6,8,4,4,2,4,3,2,1,3,3,6,3,3,3
Joni Pitkanen,BAR,D,25,8,4,4,3,2,3,2,1,10,3,6,2,3,2
Mark Streit,BAR,D,2,7,3,4,3,2,3,2,1,7,2,6,3,4,3
Vincent Lecavalier,BAY,F,4,10,3,4,6,2,4,2,1,9,4,3,2,3,2
Jonathan Toews,BAY,F,19,7,5,5,4,4,4,2,1,11,5,2,2,3,2
Jason Spezza,BAY,F,39,9,4,5,5,4,5,2,0,12,5,2,3,4,3
Paul Stastny,BAY,F,26,8,5,4,4,3,4,2,1,8,4,2,3,3,3
Zach Parise,BAY,F,9,6,5,4,4,4,4,2,1,10,4,2,3,3,3
Tyler Myers,BAY,D,57,10,3,3,3,4,3,2,0,7,3,6,3,3,3
Victor Hedman,BAY,D,77,11,4,4,3,2,6,5,1,10,2,6,3,3,3
Mike Green,BAY,D,52,6,5,5,2,3,2,2,0,8,2,6,1,2,1
Adam Henrique,BFC,F,14,7,3,5,4,4,4,1,1,8,4,2,1,3,1
Rick Nash,BFC,F,61,9,5,4,4,2,3,2,1,8,3,2,3,3,3
Sidney Crosby,BFC,F,87,7,5,5,6,3,5,2,1,13,4,2,1,6,1
